UUID	Название блюда	ID
fa8384fa-494f-40e9-abe4-668d7140a97a	Чай Клубника Розовый кактус Каламанси 1л	12500
3299e9ec-e9bc-4e9d-8061-aa1ce1aba556	Чай Клубника Розовый кактус Каламанси 500мл	12640
8ebe78fc-225a-4eda-bdfe-3449f3214b1a	Чай Облепиха Калина Инжир 1л	12499
6c7dd97e-34c3-4cda-b10a-986114e4643a	Чай Облепиха Калина Инжир 500мл	12641
6649d311-cd1a-4ce5-98c3-40af0e1c7bc3	Чай Черная смородина Брусника Земляника 1л	12498
be9727fd-beb1-4b70-b945-2c9576a877fb	Чай Черная смородина Брусника Земляника 500мл	12642
0cd14142-4cbe-4cfc-90f8-7f37b399f2d1	Блендшот персик манго 50мл	12567
135f538f-edda-4f47-b529-ac46c325e1a9	Блендшот клюква  розмарин 50мл	12569
3b3c6769-620b-4dac-9a8e-d3914317156d	Блендшот лаванда земляника 50мл	12570
f313a6ba-5798-41fd-9553-ea2103ee1f42	Блендшот лимонный тарт апельсин 50мл	12568
a84152fb-7248-43e1-b1a5-739426314c56	Блендшот маракуйя груша 50мл	12565
d48db767-96a3-43f1-9e5a-51dd0e53f475	Блендшот клубника брусника 50мл	12566
c21a3f2f-a2d1-426a-b21f-3fe37cad54d3	Морс 330мл	12630
3ad63c7b-143f-468b-b6cb-8a32b21c1126	Гуанабана Личи Манго 250мл	12473
48ea8363-b6b4-470e-a736-9ce329fa60aa	Гуанабана Личи Манго 750мл	12475
f903be86-566c-4b3f-825e-1f609e5a27b0	Драгонфрут Брусника Клубника 250мл	12477
14b8db46-86a0-4db2-a3db-96fa7f0c6b96	Кактус  Каламанси  Калина 250мл	12472
8a91be5a-f7e1-4b37-a473-7f2911343518	Кактус  Каламанси  Калина 750мл	12474
6a4fb26f-6a20-4d16-999b-7344b6c95bc1	Драгонфрут Брусника Клубника 750мл	12478
d6ba7f1a-9a53-49ad-a0d4-a49acc770718	Беллини 75 160мл	12483
ce3cffbc-7878-45fd-9c66-1904207a679c	Бэзил Смэш	12484
adac37ee-0e1b-494a-9ae4-6d65fb00766a	Джин тоник Груша Абрикос 180 мл 	12487
1280533c-f344-41a1-bfa6-9fc6fd3a48de	Инжир Маргарита	12480
0e105669-cf39-4a99-965b-009dad1fddfd	Корона Санрайз	12479
9d87a651-fa36-460a-b812-7ef3a561e7cf	 Мартини-Фиеро Тоник 2+1	06730
71eb1192-c509-4e96-86c4-e7850bd3ab62	Сауэр Гуанабана Персик 140мл 	12574
42a6d9b2-60e3-4f6a-bd4e-62a4c35e92c4	Банка № 1  Апероль спритц 330 мл	07171
b159e642-7b4b-4dad-9131-8923a12fb5c2	Банка № 2  Мартини Фиеро 330 мл	12571
e4ff5b3c-a620-48df-8705-ffbf69a3eb0b	Банка № 3  Маракуйя Спритц 330 мл	12572
0ca235ad-7228-4230-88c9-77727fb69a58	 Крю Лермонт Рислинг 750 мл 	12637
468abe39-0a54-45ba-a41c-bc1b437d8ee4	Локантита Море Совиньон Блан 750 мл 	12638
8dfb2a3e-3bba-4770-ba8d-ea22d753d529	Балаклава Пино Нуар, 750 мл 	12635
943f5e96-bbfd-4b72-8866-a04ce75b72a0	Мартини Просекко DOC 750мл	11148
352364ae-68ed-4470-af00-a93a1ef0bec3	Нуволе розовое брют, 750 мл 	12636
29640671-8157-43ae-a538-0ab21077becd	Локантина Море Совиньон Блан, сух 125 мл 	12633
78fa223c-4661-4a96-aaa2-9c68ccd1b124	Нуволе брют, 125 мл 	12632
c1797ca4-46fc-4691-ada9-12154cc0849e	Нуволе п/сл, 125 мл 	12631
4dd5a732-001d-4548-840e-22da73037aa4	Монтефьоре Кьянти Колли Сенези 125 мл	10675
a425a79a-14e4-40da-af61-ca5713d33964	Токпокки Сникерс 	12270
